,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
549,ACH,2020-05-19,601020,19-GP-ROSN,AMS,7452.42,0.0,,
550,ACH,2020-05-19,601000,19-GP-ROSN,AMS,495.0,0.0,,
560,ACH,2020-05-17,606102,19-GP-ROSN,EDF,472.02,0.0,,
561,ACH,2020-05-17,621500,19-GP-ROSN,OMEGA INTERIM,2922.5,0.0,,
563,ACH,2020-05-15,613105,19-GP-ROSN,COLTRIVAL,5680.0,0.0,,
566,ACH,2020-05-15,613101,19-GP-ROSN,LOXAM,357.44,0.0,,
570,ACH,2020-05-15,601020,19-GP-ROSN,NORMAFER,2599.02,0.0,,
579,ACH,2020-05-14,601000,19-GP-ROSN,AMS,910.5,0.0,,
585,ACH,2020-05-12,601020,19-GP-ROSN,AMS,550.0,0.0,,
586,ACH,2020-05-12,601000,19-GP-ROSN,AMS,723.04,0.0,,
598,ACH,2020-05-05,601040,19-GP-ROSN,QUINCAILLERIE DUBOS,107.64,0.0,,
602,ACH,2020-05-04,601040,19-GP-ROSN,QUINCAILLERIE DUBOS,458.72,0.0,,
604,ACH,2020-05-03,601000,19-GP-ROSN,POINT P,67.65,0.0,,
606,ACH,2020-05-03,601000,19-GP-ROSN,POINT P,65.06,0.0,,
628,ACH,2020-04-30,611436,19-GP-ROSN,ADN PROTECTION,525.0,0.0,,
632,ACH,2020-04-30,601030,19-GP-ROSN,SYNEOS / IDF,936.25,0.0,,
637,ACH,2020-04-30,613511,19-GP-ROSN,STI,640.0,0.0,,
641,ACH,2020-04-30,613104,19-GP-ROSN,LOGA GRUE,4017.0,0.0,,
643,ACH,2020-04-30,613104,19-GP-ROSN,LOGA GRUE,1390.5,0.0,,
644,ACH,2020-04-30,613104,19-GP-ROSN,LOGA GRUE,100.75,0.0,,
648,ACH,2020-04-30,601000,19-GP-ROSN,BARILLET-FALGUIER,761.05,0.0,,
649,ACH,2020-04-30,601010,19-GP-ROSN,BARILLET-FALGUIER,1755.0,0.0,,
655,ACH,2020-04-30,613110,19-GP-ROSN,KILOUTOU MODULE,2420.8,0.0,,
658,ACH,2020-04-30,613101,19-GP-ROSN,LPP,825.0,0.0,,
678,ACH,2020-04-30,613511,19-GP-ROSN,STI,340.0,0.0,,
688,ACH,2020-04-29,601040,19-GP-ROSN,QUINCAILLERIE DUBOS,359.23,0.0,,
690,ACH,2020-04-28,601020,19-GP-ROSN,NORMAFER,4116.87,0.0,,
693,ACH,2020-04-28,601040,19-GP-ROSN,QUINCAILLERIE DUBOS,213.8,0.0,,
695,ACH,2020-04-28,601000,19-GP-ROSN,QUINCAILLERIE DUBOS,228.4,0.0,,
707,ACH,2020-04-22,613101,19-GP-ROSN,LOXAM,380.75,0.0,,
711,ACH,2020-04-20,611420,19-GP-ROSN,STEBAT,7500.0,0.0,,
720,ACH,2020-04-16,606102,19-GP-ROSN,EDF,476.04,0.0,,
738,ACH,2020-04-08,604923,19-GP-ROSN,BTM,17244.96,0.0,,
765,ACH,2020-03-31,621100,19-GP-ROSN,OMEGA INTERIM,420.0,0.0,,
766,ACH,2020-03-31,601020,19-GP-ROSN,NORMAFER,6698.59,0.0,,
770,ACH,2020-03-31,613511,19-GP-ROSN,STI,340.0,0.0,,
776,ACH,2020-03-31,613110,19-GP-ROSN,KILOTOU,2420.8,0.0,,
778,ACH,2020-03-31,601000,19-GP-ROSN,LANCERY SAFIRE,128.69,0.0,,
779,ACH,2020-03-31,613104,19-GP-ROSN,LOGA GRUE,1390.5,0.0,,
781,ACH,2020-03-31,613104,19-GP-ROSN,LOGA GRUE,4017.0,0.0,,
788,ACH,2020-03-31,613101,19-GP-ROSN,LPP,942.5,0.0,,
790,ACH,2020-03-31,613105,19-GP-ROSN,COLTRIVAL,1100.0,0.0,,
792,ACH,2020-03-31,613101,19-GP-ROSN,LOXAM,210.3,0.0,,
795,ACH,2020-03-31,613101,19-GP-ROSN,LOXAM,259.88,0.0,,
797,ACH,2020-03-31,621100,19-GP-ROSN,DEFI TECHNOLOGY,574.8,0.0,,
799,ACH,2020-03-31,621100,19-GP-ROSN,DEFI TECHNOLOGY,232.0,0.0,,
800,ACH,2020-03-31,601000,19-GP-ROSN,SGP,1121.07,0.0,,
802,ACH,2020-03-31,601000,19-GP-ROSN,BARILLET-FALGUIER,3096.86,0.0,,
805,ACH,2020-03-31,621100,19-GP-ROSN,DEFI TECHNOLOGY,1160.0,0.0,,
807,ACH,2020-03-31,601000,19-GP-ROSN,OLIVIERI,670.8,0.0,,
820,ACH,2020-03-30,606300,19-GP-ROSN,HILTI - SUPPORT CAPTEUR ELECTRONIQU,71.83,0.0,,
824,ACH,2020-03-30,604923,19-GP-ROSN,BTM,8596.0,0.0,,
834,ACH,2020-03-26,601030,19-GP-ROSN,SATM BETONS,10197.45,0.0,,
838,ACH,2020-03-24,611425,19-GP-ROSN,WSDTP,5925.0,0.0,,
858,ACH,2020-03-17,606102,19-GP-ROSN,EDF,966.46,0.0,,
863,VEN,2020-03-17,706020,19-GP-ROSN,LNC ROSNY SOUS BOIS,0.0,62518.89,,
869,ACH,2020-03-15,601040,19-GP-ROSN,PROLIANS,612.96,0.0,,
870,ACH,2020-03-15,601040,19-GP-ROSN,PROLIANS,47.2,0.0,,
877,ACH,2020-03-15,613101,19-GP-ROSN,LOXAM,205.4,0.0,,
879,ACH,2020-03-15,621100,19-GP-ROSN,OMEGA INTERIM,737.8,0.0,,
880,ACH,2020-03-15,621500,19-GP-ROSN,OMEGA INTERIM,2572.5,0.0,,
883,ACH,2020-03-14,601000,19-GP-ROSN,FRANSBONHOMME,329.01,0.0,,
884,ACH,2020-03-14,611425,19-GP-ROSN,COLTRIVAL,4310.0,0.0,,
889,ACH,2020-03-13,601000,19-GP-ROSN,LANCERY SAFIRE,1099.17,0.0,,
890,ACH,2020-03-13,601020,19-GP-ROSN,NORMAFER,5530.57,0.0,,
