,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
1194,ACH,2020-01-31,613101,19-ROCH-LP,LOXAM,806.36,0.0,,
1197,ACH,2020-01-31,215500,19-ROCH-LP,BTMAT,440.0,0.0,,
1200,ACH,2020-01-31,601040,19-ROCH-LP,QUINCAILLERIE DUBOS,157.42,0.0,,
1202,ACH,2020-01-31,601000,19-ROCH-LP,TECHNIQUE BETON,456.35,0.0,,
1203,ACH,2020-01-31,601000,19-ROCH-LP,TECHNIQUE BETON,185.7,0.0,,
1205,ACH,2020-01-31,601000,19-ROCH-LP,LANCERY,7129.99,0.0,,
1209,ACH,2020-01-31,601000,19-ROCH-LP,OLIVIERI,528.5,0.0,,
1211,ACH,2020-01-31,601000,19-ROCH-LP,OLIVIERI,741.6,0.0,,
1216,ACH,2020-01-31,601000,19-ROCH-LP,POINT P,25.61,0.0,,
1217,ACH,2020-01-31,601000,19-ROCH-LP,POINT P,34.91,0.0,,
1221,ACH,2020-01-31,613114,19-ROCH-LP,ALTRAD,78.72,0.0,,
1222,ACH,2020-01-31,613111,19-ROCH-LP,ALTRAD,3140.55,0.0,,
1223,ACH,2020-01-31,608301,19-ROCH-LP,ALTRAD,600.0,0.0,,
1224,ACH,2020-01-31,613113,19-ROCH-LP,ALTRAD,1246.2,0.0,,
1225,ACH,2020-01-31,613111,19-ROCH-LP,ALTRAD,359.81,0.0,,
1235,ACH,2020-01-31,601040,19-ROCH-LP,PROLIANS,5.9,0.0,,
1236,ACH,2020-01-31,215500,19-ROCH-LP,BETONNIERE PROLIANS,469.08,0.0,,
1238,ACH,2020-01-31,601040,19-ROCH-LP,PROLIANS,11.8,0.0,,
1239,ACH,2020-01-31,606152,19-ROCH-LP,PROLIANS,63.88,0.0,,
1240,ACH,2020-01-31,601040,19-ROCH-LP,PROLIANS,42.15,0.0,,
1241,ACH,2020-01-31,601040,19-ROCH-LP,PROLIANS,68.0,0.0,,
1242,ACH,2020-01-31,601040,19-ROCH-LP,PROLIANS,4.98,0.0,,
1250,ACH,2020-01-31,635800,19-ROCH-LP,Autres impôts taxes et verst. assim,190.0,0.0,,
1268,VEN,2020-01-31,706020,19-ROCH-LP,SCCV ROCHEREAU LE PERREUX 20%,0.0,87791.99,,
1274,ACH,2020-01-30,611427,19-ROCH-LP,LANDEMAINE PERE & FILS,200.0,0.0,,
1281,ACH,2020-01-29,604923,19-ROCH-LP,BTM,10080.0,0.0,,
1298,ACH,2020-01-25,611428,19-ROCH-LP,RP CONSTRUCTION,800.0,0.0,,
1313,ACH,2020-01-19,621500,19-ROCH-LP,OMEGA INTERIM,3570.0,0.0,,
1318,ACH,2020-01-17,613110,19-ROCH-LP,ALGECO,122.19,0.0,,
1322,ACH,2020-01-17,606102,19-ROCH-LP,EDF,288.51,0.0,,
1325,ACH,2020-01-17,613101,19-ROCH-LP,KILOTOU,25.0,0.0,,
1331,ACH,2020-01-15,613105,19-ROCH-LP,COLTRIVAL,580.0,0.0,,
1354,ACH,2020-01-10,601020,19-ROCH-LP,AMS,838.76,0.0,,
1355,ACH,2020-01-10,601000,19-ROCH-LP,AMS,610.08,0.0,,
1358,ACH,2020-01-09,613105,19-ROCH-LP,COLTRIVAL,0.0,35.0,,
1363,ACH,2020-01-09,604922,19-ROCH-LP,BATI DAL - SOUS TRAITANT,1800.0,0.0,,
1381,ACH,2020-01-02,604923,19-ROCH-LP,BTM,8684.0,0.0,,
1382,ACH,2020-01-02,215500,19-ROCH-LP,NORD COFFRAGE ILE DE FRANCE,547.0,0.0,,
1393,ANO,2020-01-01,215400,19-ROCH-LP,Report à nouveau,9381.38,0.0,,
1399,ANO,2020-01-01,215500,19-ROCH-LP,Report à nouveau,2591.0,0.0,,
